source_domain,lookalike_domain,same_ip_domain,screenshot,crypto_address,chain,discovery_method,source_domain_ip,lookalike_domain_ip,same_ip_domain_ip,inreach_checked,inreach_intel_available,inreach_intel_summary
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,THfsaswgG8Mfmc1pigqmeyzZcJS4hVaP8k,tron,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1qmqvnc30pw0cp6gcf963kuzdyaptxmlvt67m6f3,btc,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1qhvmztcsrz08enlqc2q2ljucmt47zxhuk2kg8zs,btc,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,bc1q5j6uxjyq7xnyzmhjz7jxtmtlja67h5km9ev5h8,btc,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
cruxatlanticexchange.trade,cruxatlanticexchange.trade,,https://urlscan.io/screenshots/06c515fd-8c7a-4f60-b349-f6cfe8237ecf.png,0x67d33c0396f91fc3c4290c48dbb4f22705ec525b,eth,lookalike_target,209.222.98.191,209.222.98.191,,Yes,Yes,Platforms: Website:cruxatlanticexchange.trade
eliteinvestnet.com,ocportaltrader.live,,https://urlscan.io/screenshots/8784605b-e303-4252-9651-9732e056924e.png,0x56a9e8d209ab39f336dba0c64842bda800a81352,eth,lookalike_source,UNRESOLVED,UNRESOLVED,,No,No,
eliteinvestnet.com,ocportaltrader.live,,https://urlscan.io/screenshots/8784605b-e303-4252-9651-9732e056924e.png,3LhenaTBhG6FrYKMxKD1gaV1ncV7d1h5YC,btc,lookalike_source,UNRESOLVED,UNRESOLVED,,No,No,
eliteinvestnet.com,ocportaltrader.live,,https://urlscan.io/screenshots/8784605b-e303-4252-9651-9732e056924e.png,38Ph4E3UNbDRAkZKBWpA8v2i1ZYMFvx1Q2,btc,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
eliteinvestnet.com,ocportaltrader.live,,https://urlscan.io/screenshots/8784605b-e303-4252-9651-9732e056924e.png,0xa578b689aef6c214a84cd2a99a9fd69e1c989763,eth,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
eliteinvestnet.com,ocportaltrader.live,,https://urlscan.io/screenshots/8784605b-e303-4252-9651-9732e056924e.png,0xcbe641cd17a434f49f8842a443b952d0cb9724e7,eth,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
360coinvestpro.com,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,bc1qnydkqxhdp7cptf5jrpuettddf5hc6rgdq7zqrx,btc,lookalike_source,UNRESOLVED,UNRESOLVED,,No,No,
360coinvestpro.com,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,38Ph4E3UNbDRAkZKBWpA8v2i1ZYMFvx1Q2,btc,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
360coinvestpro.com,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xa578b689aef6c214a84cd2a99a9fd69e1c989763,eth,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
360coinvestpro.com,ocportaltrader.live,,https://urlscan.io/screenshots/3e372bba-dcd3-4154-8bcd-e35af528ea13.png,0xcbe641cd17a434f49f8842a443b952d0cb9724e7,eth,lookalike_target,UNRESOLVED,UNRESOLVED,,Yes,Yes,"Platforms: Website:ocportaltrader.live, Website:mail.ocportaltrader.live, Website:247profits.live"
